ticker,TU1 Comdty,FV1 Comdty,UXY1 Comdty,US1 Comdty,WN1 Comdty
04/01/2010,108.2578125,114.546875,,115.09375,
05/01/2010,108.4140625,114.9453125,,116.03125,
06/01/2010,108.4453125,114.90625,,115.3125,
07/01/2010,108.390625,114.796875,,115.28125,
08/01/2010,108.5234375,115.0078125,,115.46875,
11/01/2010,108.578125,115.03125,,115.1875,119.6875
12/01/2010,108.6328125,115.3984375,,116.8125,121.78125
13/01/2010,108.5546875,115.171875,,115.9375,120.15625
14/01/2010,108.640625,115.4296875,,116.78125,121.75
15/01/2010,108.7578125,115.734375,,117.375,122.71875
19/01/2010,108.703125,115.5703125,,117.15625,122.28125
20/01/2010,108.7421875,115.7578125,,117.96875,123.375
21/01/2010,108.828125,116.046875,,118.625,124.15625
22/01/2010,108.8984375,116.1875,,118.84375,124.125
25/01/2010,108.8984375,116.125,,118.3125,123.3125
26/01/2010,108.8828125,116.1640625,,118.28125,123.125
27/01/2010,108.8203125,116.0390625,,118.34375,123.4375
28/01/2010,108.8828125,116.171875,,118.15625,123.1875
29/01/2010,108.9765625,116.4609375,,118.8125,124.375
01/02/2010,108.9296875,116.3203125,,118.15625,123.34375
02/02/2010,108.9453125,116.3984375,,118.40625,123.6875
03/02/2010,108.890625,116.1953125,,117.375,122.15625
04/02/2010,109.0234375,116.6640625,,118.78125,123.875
05/02/2010,109.1484375,117.078125,,119.5,125
08/02/2010,109.09375,116.8671875,,118.9375,124.4375
09/02/2010,109.0234375,116.6875,,118.3125,123.5
10/02/2010,108.9140625,116.421875,,117.5625,122.15625
11/02/2010,108.9296875,116.40625,,117.25,121.3125
12/02/2010,109.0234375,116.609375,,117.5625,121.75
16/02/2010,109.0859375,116.7890625,,117.8125,122.125
17/02/2010,108.9765625,116.3515625,,116.8125,120.625
18/02/2010,108.9453125,116.109375,,116.1875,119.90625
19/02/2010,108.84375,115.9765625,,116.78125,120.96875
22/02/2010,108.9296875,116.046875,,116.375,120.46875
23/02/2010,109.0390625,116.5078125,,117.875,122.40625
24/02/2010,109.0703125,116.4765625,,117.71875,122.46875
25/02/2010,109.1640625,116.8203125,,118.40625,123.5
26/02/2010,109.2109375,117.046875,,119.1875,124.59375
01/03/2010,109.21875,117.03125,,118.96875,124.0625
02/03/2010,109.2421875,117.09375,,118.84375,123.8125
03/03/2010,109.21875,117.109375,,118.78125,123.5
04/03/2010,109.125,117.03125,,119.3125,124.0625
05/03/2010,109.0625,116.734375,,118.1875,122.46875
08/03/2010,109.0859375,116.703125,,117.90625,121.78125
09/03/2010,109.1171875,116.78125,,117.96875,121.71875
10/03/2010,109.0625,116.5703125,,117.84375,121.625
11/03/2010,108.9765625,116.4140625,,118.125,122.1875
12/03/2010,108.953125,116.3828125,,118.46875,122.78125
15/03/2010,109.0078125,116.4609375,,118.4375,122.6875
16/03/2010,109.078125,116.71875,,119.1875,123.5625
17/03/2010,109.0390625,116.609375,,119.4375,123.96875
18/03/2010,108.953125,116.390625,,119.25,123.71875
19/03/2010,108.875,116.21875,,119.4375,123.90625
22/03/2010,108.9375,116.421875,,119.4375,123.875
23/03/2010,108.953125,116.3984375,,117.71875,122.03125
24/03/2010,108.7890625,115.6875,,115.84375,119.65625
25/03/2010,108.7890625,115.515625,,115.03125,118.5625
26/03/2010,108.875,115.796875,,115.4375,119.15625
29/03/2010,108.8984375,115.8046875,,115.5,119
30/03/2010,108.8671875,115.765625,,115.65625,119.09375
31/03/2010,108.9296875,115.984375,,116.125,119.96875
01/04/2010,108.4296875,114.7265625,,115.90625,119.78125
02/04/2010,108.2890625,114.265625,,114.875,118.25
05/04/2010,108.1484375,113.9453125,,114.375,117.59375
06/04/2010,108.21875,114.109375,,114.40625,117.53125
07/04/2010,108.3828125,114.6015625,,115.6875,119.46875
08/04/2010,108.3984375,114.515625,,115.40625,119.15625
09/04/2010,108.4140625,114.5,,115.65625,119.46875
12/04/2010,108.4609375,114.7421875,,116.25,120.40625
13/04/2010,108.453125,114.8671875,,116.625,120.96875
14/04/2010,108.4453125,114.734375,,115.9375,119.96875
15/04/2010,108.5,114.9140625,,116.03125,119.84375
16/04/2010,108.6796875,115.390625,,116.875,120.96875
19/04/2010,108.6171875,115.1484375,,116.5,120.375
20/04/2010,108.5546875,115.0703125,,116.75,120.9375
21/04/2010,108.5859375,115.2734375,,117.59375,122.15625
22/04/2010,108.53125,115.0703125,,117.28125,121.71875
23/04/2010,108.4375,114.8359375,,116.875,121.125
26/04/2010,108.4609375,114.9375,,116.875,121
27/04/2010,108.65625,115.5859375,,118.4375,123.21875
28/04/2010,108.59375,115.2109375,,117.53125,121.75
29/04/2010,108.6953125,115.53125,,118.21875,122.65625
30/04/2010,108.7890625,115.859375,,119.0625,124.03125
03/05/2010,108.703125,115.5703125,,118.71875,123.6875
04/05/2010,108.8203125,115.953125,,120,125.75
